business_date,unit_id,daily_budget_net_sales
2026-01-05,LOC013-U01,4014.2
2026-01-05,LOC013-U02,3354.53
2026-01-05,LOC038-U01,7852.96
2026-01-05,LOC008-U02,4805.9
2026-01-06,LOC030-U01,3650.83
2026-01-06,LOC028-U01,8007.12
2026-01-06,LOC022-U01,8739.49
2026-01-06,LOC034-U01,4538.71
2026-01-06,LOC003-U01,7850.37
2026-01-06,LOC004-U02,5391.78
2026-01-06,LOC019-U02,7619.02
2026-01-06,LOC024-U01,7219.0
2026-01-06,LOC033-U01,7750.08
2026-01-06,LOC038-U02,7428.08
2026-01-06,LOC027-U02,8393.45
2026-01-06,LOC003-U02,5539.78
2026-01-06,LOC036-U01,2946.9
2026-01-06,LOC035-U01,4395.46
2026-01-06,LOC001-U01,6918.09
2026-01-06,LOC017-U02,2669.11
2026-01-06,LOC013-U01,5486.33
2026-01-06,LOC013-U02,6657.58
2026-01-06,LOC038-U01,7963.87
2026-01-06,LOC008-U02,7891.44
2026-01-07,LOC030-U01,3296.86
2026-01-07,LOC028-U01,7871.82
2026-01-07,LOC022-U01,3962.11
2026-01-07,LOC034-U01,6810.07
2026-01-07,LOC003-U01,8905.53
2026-01-07,LOC004-U02,6073.47
2026-01-07,LOC019-U02,4324.67
2026-01-07,LOC024-U01,5478.61
2026-01-07,LOC033-U01,6670.79
2026-01-07,LOC038-U02,2843.82
2026-01-07,LOC027-U02,8834.4
2026-01-07,LOC003-U02,2567.43
2026-01-07,LOC036-U01,8405.48
2026-01-07,LOC035-U01,5774.21
2026-01-07,LOC001-U01,3231.66
2026-01-07,LOC017-U02,7035.28
2026-01-07,LOC013-U01,7397.72
2026-01-07,LOC013-U02,4163.16
2026-01-07,LOC038-U01,8459.93
2026-01-07,LOC008-U02,6672.71
2026-01-08,LOC030-U01,2503.98
2026-01-08,LOC028-U01,7982.2
2026-01-08,LOC022-U01,6841.81
2026-01-08,LOC034-U01,7321.69
2026-01-08,LOC003-U01,4546.34
2026-01-08,LOC004-U02,7647.52
2026-01-08,LOC019-U02,6261.76
2026-01-08,LOC024-U01,7524.34
2026-01-08,LOC033-U01,3330.09
2026-01-08,LOC038-U02,5817.24
2026-01-08,LOC027-U02,7587.55
2026-01-08,LOC003-U02,4675.08
2026-01-08,LOC036-U01,5346.23
2026-01-08,LOC035-U01,8120.99
2026-01-08,LOC001-U01,5630.23
2026-01-08,LOC017-U02,3387.08
2026-01-08,LOC013-U01,4328.78
2026-01-08,LOC013-U02,3819.15
2026-01-08,LOC038-U01,3516.83
2026-01-08,LOC008-U02,8402.31
2026-01-09,LOC030-U01,8969.09
2026-01-09,LOC028-U01,7478.04
2026-01-09,LOC022-U01,8389.36
2026-01-09,LOC034-U01,5065.97
2026-01-09,LOC003-U01,3512.09
2026-01-09,LOC004-U02,7473.74
2026-01-09,LOC019-U02,2547.9
2026-01-09,LOC024-U01,3453.54
2026-01-09,LOC033-U01,3904.19
2026-01-09,LOC038-U02,4373.93
2026-01-09,LOC027-U02,3248.95
2026-01-09,LOC003-U02,6930.85
2026-01-09,LOC036-U01,7063.52
2026-01-09,LOC035-U01,3007.17
2026-01-09,LOC001-U01,4884.12
2026-01-09,LOC017-U02,6291.11
2026-01-09,LOC013-U01,3238.08
2026-01-09,LOC013-U02,3248.38
2026-01-09,LOC038-U01,8316.78
2026-01-09,LOC008-U02,4390.8
2026-01-10,LOC030-U01,5276.76
2026-01-10,LOC028-U01,4551.28
2026-01-10,LOC022-U01,3789.44
2026-01-10,LOC034-U01,2976.72
2026-01-10,LOC003-U01,3006.97
2026-01-10,LOC004-U02,5328.08
2026-01-10,LOC019-U02,5822.98
2026-01-10,LOC024-U01,7112.58
2026-01-10,LOC033-U01,8628.3
2026-01-10,LOC038-U02,7126.12
2026-01-10,LOC027-U02,6020.04
2026-01-10,LOC003-U02,8692.28
2026-01-10,LOC036-U01,8433.31
2026-01-10,LOC035-U01,2737.61
2026-01-10,LOC001-U01,8538.79
2026-01-10,LOC017-U02,3383.4
2026-01-10,LOC013-U01,5119.49
2026-01-10,LOC013-U02,6085.34
2026-01-10,LOC038-U01,7886.52
2026-01-10,LOC008-U02,6392.25
