unit_id,quarter_hour_start_ts,kwh_consumed,energy_unit_rate,estimated_running_cost
LOC030-U01,2026-01-01T18:15:00+00:00,1.288,0.373,6.91
LOC030-U01,2026-01-01T18:30:00+00:00,2.195,0.324,10.37
LOC030-U01,2026-01-01T18:45:00+00:00,2.507,0.243,7.33
LOC030-U01,2026-01-01T19:00:00+00:00,1.544,0.281,9.56
LOC030-U01,2026-01-01T19:15:00+00:00,1.545,0.366,9.39
LOC030-U01,2026-01-01T19:30:00+00:00,2.283,0.302,10.27
LOC030-U01,2026-01-01T19:45:00+00:00,2.439,0.281,10.82
LOC030-U01,2026-01-01T20:00:00+00:00,1.484,0.305,7.83
LOC030-U01,2026-01-01T20:15:00+00:00,2.538,0.319,9.34
LOC030-U01,2026-01-01T20:30:00+00:00,2.423,0.222,9.52
LOC030-U01,2026-01-01T20:45:00+00:00,2.545,0.335,8.36
LOC030-U01,2026-01-01T21:00:00+00:00,2.271,0.359,11.65
LOC030-U01,2026-01-01T21:15:00+00:00,2.388,0.239,7.06
LOC030-U01,2026-01-01T21:30:00+00:00,1.477,0.302,11.02
LOC030-U01,2026-01-01T21:45:00+00:00,2.18,0.372,10.99
LOC030-U01,2026-01-01T22:00:00+00:00,1.827,0.287,10.44
LOC030-U01,2026-01-01T22:15:00+00:00,1.758,0.359,10.09
LOC030-U01,2026-01-01T22:30:00+00:00,2.82,0.229,7.34
LOC030-U01,2026-01-01T22:45:00+00:00,1.712,0.359,6.76
LOC030-U01,2026-01-01T23:00:00+00:00,2.236,0.227,11.4
LOC030-U01,2026-01-01T23:15:00+00:00,2.11,0.323,7.73
LOC030-U01,2026-01-01T23:30:00+00:00,1.301,0.355,10.4
LOC030-U01,2026-01-01T23:45:00+00:00,2.066,0.371,9.89
LOC030-U01,2026-01-02T00:00:00+00:00,1.567,0.328,7.59
LOC030-U01,2026-01-02T00:15:00+00:00,2.67,0.313,8.13
LOC030-U01,2026-01-02T00:30:00+00:00,2.355,0.302,9.65
LOC030-U01,2026-01-02T00:45:00+00:00,2.38,0.254,7.87
LOC030-U01,2026-01-02T01:00:00+00:00,2.636,0.351,11.72
LOC030-U01,2026-01-02T01:15:00+00:00,1.984,0.34,10.34
LOC030-U01,2026-01-02T01:30:00+00:00,2.844,0.226,9.18
LOC030-U01,2026-01-02T01:45:00+00:00,2.634,0.366,11.6
LOC030-U01,2026-01-02T02:00:00+00:00,2.659,0.372,10.62
LOC030-U01,2026-01-02T02:15:00+00:00,1.54,0.232,9.94
LOC030-U01,2026-01-02T02:30:00+00:00,2.025,0.36,10.82
LOC030-U01,2026-01-02T02:45:00+00:00,1.388,0.275,8.92
LOC030-U01,2026-01-02T03:00:00+00:00,1.794,0.323,9.83
LOC030-U01,2026-01-02T03:15:00+00:00,2.661,0.291,7.3
LOC030-U01,2026-01-02T03:30:00+00:00,1.954,0.297,6.7
LOC030-U01,2026-01-02T03:45:00+00:00,2.522,0.279,9.77
LOC028-U01,2026-01-01T10:00:00+00:00,1.966,0.304,7.03
LOC028-U01,2026-01-01T10:15:00+00:00,2.444,0.231,7.7
LOC028-U01,2026-01-01T10:30:00+00:00,1.979,0.268,9.77
LOC028-U01,2026-01-01T10:45:00+00:00,2.506,0.353,11.79
LOC028-U01,2026-01-01T11:00:00+00:00,1.722,0.322,10.28
LOC028-U01,2026-01-01T11:15:00+00:00,2.154,0.307,11.58
LOC028-U01,2026-01-01T11:30:00+00:00,2.016,0.303,10.9
LOC028-U01,2026-01-01T11:45:00+00:00,2.35,0.333,8.04
LOC028-U01,2026-01-01T12:00:00+00:00,1.317,0.222,9.02
LOC028-U01,2026-01-01T12:15:00+00:00,2.635,0.317,7.6
LOC028-U01,2026-01-01T12:30:00+00:00,2.608,0.257,8.43
LOC028-U01,2026-01-01T12:45:00+00:00,1.789,0.244,7.34
LOC028-U01,2026-01-01T13:00:00+00:00,2.182,0.332,10.35
LOC028-U01,2026-01-01T13:15:00+00:00,2.23,0.28,11.33
LOC028-U01,2026-01-01T13:30:00+00:00,2.986,0.278,6.95
LOC028-U01,2026-01-01T13:45:00+00:00,2.201,0.363,11.59
LOC028-U01,2026-01-01T14:00:00+00:00,2.008,0.35,10.99
LOC028-U01,2026-01-01T14:15:00+00:00,2.723,0.287,10.67
LOC028-U01,2026-01-01T14:30:00+00:00,2.423,0.364,9.28
LOC028-U01,2026-01-01T14:45:00+00:00,1.147,0.371,6.87
LOC028-U01,2026-01-01T15:00:00+00:00,1.813,0.251,7.23
LOC028-U01,2026-01-01T15:15:00+00:00,1.095,0.275,10.9
LOC028-U01,2026-01-01T15:30:00+00:00,1.758,0.362,7.9
LOC028-U01,2026-01-01T15:45:00+00:00,1.699,0.232,6.73
LOC028-U01,2026-01-01T16:00:00+00:00,1.642,0.292,9.77
LOC028-U01,2026-01-01T16:15:00+00:00,1.599,0.305,9.41
LOC028-U01,2026-01-01T16:30:00+00:00,2.316,0.251,10.01
LOC028-U01,2026-01-01T16:45:00+00:00,2.247,0.308,9.72
LOC028-U01,2026-01-01T17:00:00+00:00,2.558,0.24,10.23
LOC028-U01,2026-01-01T17:15:00+00:00,1.771,0.324,7.54
LOC028-U01,2026-01-01T17:30:00+00:00,2.144,0.238,8.66
LOC028-U01,2026-01-01T17:45:00+00:00,2.092,0.287,10.98
LOC028-U01,2026-01-01T18:00:00+00:00,2.715,0.293,8.97
LOC028-U01,2026-01-01T18:15:00+00:00,2.762,0.359,11.09
LOC028-U01,2026-01-01T18:30:00+00:00,1.206,0.279,9.49
LOC028-U01,2026-01-01T18:45:00+00:00,3.265,0.299,7.48
LOC028-U01,2026-01-01T19:00:00+00:00,1.023,0.27,9.75
LOC028-U01,2026-01-01T19:15:00+00:00,2.019,0.372,6.86
LOC028-U01,2026-01-01T19:30:00+00:00,2.113,0.267,8.89
LOC028-U01,2026-01-01T19:45:00+00:00,1.321,0.244,6.88
LOC028-U01,2026-01-01T20:00:00+00:00,2.284,0.31,8.04
LOC028-U01,2026-01-01T20:15:00+00:00,2.097,0.242,10.93
LOC028-U01,2026-01-01T20:30:00+00:00,1.776,0.374,7.01
LOC028-U01,2026-01-01T20:45:00+00:00,2.534,0.288,11.2
LOC028-U01,2026-01-01T21:00:00+00:00,1.975,0.223,8.59
LOC028-U01,2026-01-01T21:15:00+00:00,2.731,0.378,10.17
LOC028-U01,2026-01-01T21:30:00+00:00,1.624,0.248,8.92
LOC028-U01,2026-01-01T21:45:00+00:00,2.174,0.304,9.61
LOC028-U01,2026-01-01T22:00:00+00:00,2.128,0.367,11.57
LOC028-U01,2026-01-01T22:15:00+00:00,1.855,0.254,7.9
LOC028-U01,2026-01-01T22:30:00+00:00,1.33,0.367,9.25
LOC028-U01,2026-01-01T22:45:00+00:00,2.697,0.329,11.72
LOC028-U01,2026-01-01T23:00:00+00:00,2.023,0.224,8.31
LOC028-U01,2026-01-01T23:15:00+00:00,1.607,0.365,7.01
LOC028-U01,2026-01-01T23:30:00+00:00,2.092,0.288,8.43
LOC028-U01,2026-01-01T23:45:00+00:00,2.756,0.306,10.57
LOC028-U01,2026-01-02T00:00:00+00:00,1.81,0.243,9.97
LOC028-U01,2026-01-02T00:15:00+00:00,2.501,0.275,10.61
LOC028-U01,2026-01-02T00:30:00+00:00,2.755,0.223,10.64
LOC028-U01,2026-01-02T00:45:00+00:00,2.219,0.341,10.91
LOC028-U01,2026-01-02T01:00:00+00:00,1.193,0.364,9.44
LOC028-U01,2026-01-02T01:15:00+00:00,1.751,0.322,7.71
LOC028-U01,2026-01-02T01:30:00+00:00,1.511,0.296,10.91
LOC028-U01,2026-01-02T01:45:00+00:00,2.891,0.25,11.66
LOC028-U01,2026-01-02T02:00:00+00:00,2.691,0.363,9.39
LOC028-U01,2026-01-02T02:15:00+00:00,1.206,0.304,10.09
LOC028-U01,2026-01-02T02:30:00+00:00,2.108,0.283,9.12
LOC028-U01,2026-01-02T02:45:00+00:00,2.188,0.272,8.64
LOC028-U01,2026-01-02T03:00:00+00:00,2.484,0.332,7.98
LOC028-U01,2026-01-02T03:15:00+00:00,1.738,0.332,10.47
LOC028-U01,2026-01-02T03:30:00+00:00,3.089,0.336,9.18
LOC028-U01,2026-01-02T03:45:00+00:00,1.893,0.374,6.99
LOC022-U01,2026-01-01T10:00:00+00:00,1.9,0.278,6.69
LOC022-U01,2026-01-01T10:15:00+00:00,2.321,0.343,11.73
LOC022-U01,2026-01-01T10:30:00+00:00,2.303,0.334,7.43
LOC022-U01,2026-01-01T10:45:00+00:00,2.13,0.291,10.82
LOC022-U01,2026-01-01T11:00:00+00:00,2.188,0.288,9.42
LOC022-U01,2026-01-01T11:15:00+00:00,1.582,0.28,8.23
LOC022-U01,2026-01-01T11:30:00+00:00,1.636,0.296,10.61
LOC022-U01,2026-01-01T11:45:00+00:00,2.051,0.299,8.62
LOC022-U01,2026-01-01T12:00:00+00:00,3.26,0.311,10.81
LOC022-U01,2026-01-01T12:15:00+00:00,1.39,0.366,10.38
LOC022-U01,2026-01-01T12:30:00+00:00,1.215,0.354,9.32
LOC022-U01,2026-01-01T12:45:00+00:00,1.834,0.293,9.52
LOC022-U01,2026-01-01T13:00:00+00:00,2.584,0.268,11.26
LOC022-U01,2026-01-01T13:15:00+00:00,1.761,0.281,8.03
LOC022-U01,2026-01-01T13:30:00+00:00,1.507,0.371,10.81
LOC022-U01,2026-01-01T13:45:00+00:00,1.805,0.364,9.99
LOC022-U01,2026-01-01T14:00:00+00:00,1.53,0.271,9.04
LOC022-U01,2026-01-01T14:15:00+00:00,2.579,0.303,11.37
LOC022-U01,2026-01-01T14:30:00+00:00,3.075,0.244,11.41
LOC022-U01,2026-01-01T14:45:00+00:00,1.814,0.329,10.59
LOC022-U01,2026-01-01T15:00:00+00:00,1.563,0.379,11.46
LOC022-U01,2026-01-01T15:15:00+00:00,1.97,0.294,9.12
LOC022-U01,2026-01-01T15:30:00+00:00,1.891,0.237,10.64
LOC022-U01,2026-01-01T15:45:00+00:00,1.873,0.282,8.41
LOC022-U01,2026-01-01T16:00:00+00:00,2.335,0.247,9.41
LOC022-U01,2026-01-01T16:15:00+00:00,2.094,0.255,7.89
LOC022-U01,2026-01-01T16:30:00+00:00,1.78,0.316,8.42
LOC022-U01,2026-01-01T16:45:00+00:00,2.992,0.272,9.83
LOC022-U01,2026-01-01T17:00:00+00:00,2.949,0.313,10.46
LOC022-U01,2026-01-01T17:15:00+00:00,1.551,0.301,10.44
LOC022-U01,2026-01-01T17:30:00+00:00,2.267,0.263,9.0
LOC022-U01,2026-01-01T17:45:00+00:00,1.205,0.25,10.33
LOC022-U01,2026-01-01T18:00:00+00:00,2.437,0.353,7.27
LOC022-U01,2026-01-01T18:15:00+00:00,1.701,0.248,10.85
LOC022-U01,2026-01-01T18:30:00+00:00,2.964,0.279,9.01
LOC022-U01,2026-01-01T18:45:00+00:00,2.396,0.323,8.18
LOC022-U01,2026-01-01T19:00:00+00:00,1.58,0.309,8.59
LOC022-U01,2026-01-01T19:15:00+00:00,1.937,0.22,10.34
LOC022-U01,2026-01-01T19:30:00+00:00,1.894,0.329,7.53
LOC022-U01,2026-01-01T19:45:00+00:00,2.078,0.337,10.44
LOC022-U01,2026-01-01T20:00:00+00:00,2.195,0.273,9.11
LOC022-U01,2026-01-01T20:15:00+00:00,2.375,0.331,9.11
LOC022-U01,2026-01-01T20:30:00+00:00,2.404,0.298,8.41
LOC022-U01,2026-01-01T20:45:00+00:00,1.144,0.261,6.67
LOC022-U01,2026-01-01T21:00:00+00:00,1.46,0.257,8.59
LOC022-U01,2026-01-01T21:15:00+00:00,1.958,0.294,7.74
LOC022-U01,2026-01-01T21:30:00+00:00,2.778,0.259,7.89
LOC022-U01,2026-01-01T21:45:00+00:00,2.143,0.245,10.46
LOC022-U01,2026-01-01T22:00:00+00:00,2.091,0.307,11.31
LOC022-U01,2026-01-01T22:15:00+00:00,1.177,0.23,8.11
LOC022-U01,2026-01-01T22:30:00+00:00,1.746,0.377,10.71
LOC022-U01,2026-01-01T22:45:00+00:00,1.637,0.337,7.73
LOC022-U01,2026-01-01T23:00:00+00:00,2.064,0.255,6.9
LOC022-U01,2026-01-01T23:15:00+00:00,1.207,0.334,9.97
LOC022-U01,2026-01-01T23:30:00+00:00,2.54,0.334,9.24
LOC022-U01,2026-01-01T23:45:00+00:00,1.828,0.309,9.19
LOC022-U01,2026-01-02T00:00:00+00:00,2.001,0.297,9.43
LOC022-U01,2026-01-02T00:15:00+00:00,1.866,0.244,8.94
LOC022-U01,2026-01-02T00:30:00+00:00,2.191,0.317,9.11
LOC022-U01,2026-01-02T00:45:00+00:00,0.893,0.271,9.54
LOC022-U01,2026-01-02T01:00:00+00:00,2.061,0.31,7.49
LOC022-U01,2026-01-02T01:15:00+00:00,1.777,0.36,11.15
LOC022-U01,2026-01-02T01:30:00+00:00,2.181,0.27,10.5
LOC022-U01,2026-01-02T01:45:00+00:00,3.053,0.355,9.76
LOC022-U01,2026-01-02T02:00:00+00:00,2.734,0.263,8.86
LOC022-U01,2026-01-02T02:15:00+00:00,1.719,0.368,10.52
LOC022-U01,2026-01-02T02:30:00+00:00,1.905,0.351,9.87
LOC022-U01,2026-01-02T02:45:00+00:00,1.493,0.267,9.33
LOC022-U01,2026-01-02T03:00:00+00:00,1.347,0.337,8.46
LOC022-U01,2026-01-02T03:15:00+00:00,1.827,0.285,8.33
LOC022-U01,2026-01-02T03:30:00+00:00,2.576,0.376,7.3
LOC022-U01,2026-01-02T03:45:00+00:00,2.067,0.252,10.02
LOC034-U01,2026-01-01T10:00:00+00:00,2.456,0.275,7.75
LOC034-U01,2026-01-01T10:15:00+00:00,2.208,0.263,7.53
LOC034-U01,2026-01-01T10:30:00+00:00,2.925,0.278,7.53
LOC034-U01,2026-01-01T10:45:00+00:00,2.101,0.24,11.29
LOC034-U01,2026-01-01T11:00:00+00:00,2.405,0.257,8.52
LOC034-U01,2026-01-01T11:15:00+00:00,2.358,0.237,8.08
LOC034-U01,2026-01-01T11:30:00+00:00,2.302,0.251,7.37
LOC034-U01,2026-01-01T11:45:00+00:00,2.5,0.243,10.61
LOC034-U01,2026-01-01T12:00:00+00:00,2.218,0.325,11.02
LOC034-U01,2026-01-01T12:15:00+00:00,2.849,0.265,9.72
LOC034-U01,2026-01-01T12:30:00+00:00,2.687,0.281,7.8
LOC034-U01,2026-01-01T12:45:00+00:00,1.83,0.286,9.03
LOC034-U01,2026-01-01T13:00:00+00:00,1.513,0.259,10.8
LOC034-U01,2026-01-01T13:15:00+00:00,2.826,0.311,7.58
LOC034-U01,2026-01-01T13:30:00+00:00,1.644,0.245,8.85
LOC034-U01,2026-01-01T13:45:00+00:00,1.59,0.355,7.23
LOC034-U01,2026-01-01T14:00:00+00:00,1.783,0.246,10.27
LOC034-U01,2026-01-01T14:15:00+00:00,2.275,0.264,8.08
LOC034-U01,2026-01-01T14:30:00+00:00,2.271,0.29,7.3
LOC034-U01,2026-01-01T14:45:00+00:00,1.984,0.283,7.99
LOC034-U01,2026-01-01T15:00:00+00:00,1.785,0.33,10.32
LOC034-U01,2026-01-01T15:15:00+00:00,2.887,0.241,11.37
LOC034-U01,2026-01-01T15:30:00+00:00,1.987,0.368,11.69
LOC034-U01,2026-01-01T15:45:00+00:00,2.694,0.301,7.63
LOC034-U01,2026-01-01T16:00:00+00:00,1.158,0.321,10.24
LOC034-U01,2026-01-01T16:15:00+00:00,2.613,0.307,8.52
LOC034-U01,2026-01-01T16:30:00+00:00,2.162,0.294,8.17
LOC034-U01,2026-01-01T16:45:00+00:00,2.971,0.315,9.94
LOC034-U01,2026-01-01T17:00:00+00:00,2.519,0.3,11.09
LOC034-U01,2026-01-01T17:15:00+00:00,1.603,0.221,6.6
LOC034-U01,2026-01-01T17:30:00+00:00,2.588,0.273,8.06
LOC034-U01,2026-01-01T17:45:00+00:00,2.187,0.22,7.06
LOC034-U01,2026-01-01T18:00:00+00:00,1.857,0.37,10.96
LOC034-U01,2026-01-01T18:15:00+00:00,1.628,0.363,7.25
LOC034-U01,2026-01-01T18:30:00+00:00,2.285,0.37,10.7
LOC034-U01,2026-01-01T18:45:00+00:00,1.199,0.276,10.43
LOC034-U01,2026-01-01T19:00:00+00:00,1.086,0.347,10.34
LOC034-U01,2026-01-01T19:15:00+00:00,2.699,0.282,9.43
LOC034-U01,2026-01-01T19:30:00+00:00,1.704,0.378,7.49
LOC034-U01,2026-01-01T19:45:00+00:00,2.005,0.237,6.96
LOC034-U01,2026-01-01T20:00:00+00:00,2.618,0.311,10.29
LOC034-U01,2026-01-01T20:15:00+00:00,2.796,0.322,10.19
LOC034-U01,2026-01-01T20:30:00+00:00,1.77,0.361,7.09
LOC034-U01,2026-01-01T20:45:00+00:00,3.727,0.252,10.85
LOC034-U01,2026-01-01T21:00:00+00:00,1.828,0.317,8.61
LOC034-U01,2026-01-01T21:15:00+00:00,2.129,0.304,10.34
LOC034-U01,2026-01-01T21:30:00+00:00,1.854,0.288,7.37
LOC034-U01,2026-01-01T21:45:00+00:00,2.043,0.259,8.64
LOC034-U01,2026-01-01T22:00:00+00:00,1.713,0.36,10.45
LOC034-U01,2026-01-01T22:15:00+00:00,1.564,0.339,11.3
LOC034-U01,2026-01-01T22:30:00+00:00,0.792,0.294,8.93
LOC034-U01,2026-01-01T22:45:00+00:00,2.616,0.238,9.67
LOC034-U01,2026-01-01T23:00:00+00:00,1.58,0.261,7.46
LOC034-U01,2026-01-01T23:15:00+00:00,1.94,0.27,8.14
LOC034-U01,2026-01-01T23:30:00+00:00,1.781,0.306,7.99
LOC034-U01,2026-01-01T23:45:00+00:00,1.777,0.285,9.19
LOC034-U01,2026-01-02T00:00:00+00:00,2.061,0.363,7.96
LOC034-U01,2026-01-02T00:15:00+00:00,1.94,0.332,9.27
LOC034-U01,2026-01-02T00:30:00+00:00,1.914,0.327,8.33
LOC034-U01,2026-01-02T00:45:00+00:00,0.536,0.299,10.81
LOC034-U01,2026-01-02T01:00:00+00:00,2.569,0.34,11.67
LOC034-U01,2026-01-02T01:15:00+00:00,2.771,0.319,9.51
LOC034-U01,2026-01-02T01:30:00+00:00,2.521,0.268,8.34
LOC034-U01,2026-01-02T01:45:00+00:00,3.009,0.347,7.71
LOC034-U01,2026-01-02T02:00:00+00:00,1.793,0.354,10.35
LOC034-U01,2026-01-02T02:15:00+00:00,1.629,0.274,8.39
LOC034-U01,2026-01-02T02:30:00+00:00,2.028,0.32,9.3
LOC034-U01,2026-01-02T02:45:00+00:00,2.453,0.293,10.61
LOC034-U01,2026-01-02T03:00:00+00:00,2.518,0.257,8.14
LOC034-U01,2026-01-02T03:15:00+00:00,1.037,0.222,9.49
LOC034-U01,2026-01-02T03:30:00+00:00,2.02,0.308,9.72
LOC034-U01,2026-01-02T03:45:00+00:00,2.013,0.37,8.21
LOC003-U01,2026-01-01T10:00:00+00:00,2.213,0.279,7.49
LOC003-U01,2026-01-01T10:15:00+00:00,1.883,0.312,8.7
LOC003-U01,2026-01-01T10:30:00+00:00,1.94,0.255,9.86
LOC003-U01,2026-01-01T10:45:00+00:00,2.132,0.302,9.46
LOC003-U01,2026-01-01T11:00:00+00:00,2.644,0.281,11.29
LOC003-U01,2026-01-01T11:15:00+00:00,2.667,0.356,10.14
LOC003-U01,2026-01-01T11:30:00+00:00,1.583,0.294,9.08
LOC003-U01,2026-01-01T11:45:00+00:00,2.761,0.232,9.96
LOC003-U01,2026-01-01T12:00:00+00:00,2.368,0.324,8.71
LOC003-U01,2026-01-01T12:15:00+00:00,2.06,0.293,9.63
LOC003-U01,2026-01-01T12:30:00+00:00,1.729,0.271,7.14
LOC003-U01,2026-01-01T12:45:00+00:00,1.674,0.238,10.59
LOC003-U01,2026-01-01T13:00:00+00:00,2.098,0.237,8.3
LOC003-U01,2026-01-01T13:15:00+00:00,2.229,0.363,11.2
LOC003-U01,2026-01-01T13:30:00+00:00,1.973,0.312,8.62
LOC003-U01,2026-01-01T13:45:00+00:00,2.135,0.319,7.64
LOC003-U01,2026-01-01T14:00:00+00:00,2.611,0.309,10.38
LOC003-U01,2026-01-01T14:15:00+00:00,2.449,0.304,10.97
LOC003-U01,2026-01-01T14:30:00+00:00,2.127,0.266,10.77
LOC003-U01,2026-01-01T14:45:00+00:00,2.415,0.242,9.29
LOC003-U01,2026-01-01T15:00:00+00:00,2.429,0.308,7.22
LOC003-U01,2026-01-01T15:15:00+00:00,1.143,0.264,7.6
LOC003-U01,2026-01-01T15:30:00+00:00,1.346,0.288,8.18
LOC003-U01,2026-01-01T15:45:00+00:00,1.339,0.353,7.62
LOC003-U01,2026-01-01T16:00:00+00:00,2.768,0.283,10.88
LOC003-U01,2026-01-01T16:15:00+00:00,3.633,0.329,9.91
LOC003-U01,2026-01-01T16:30:00+00:00,1.553,0.26,11.19
LOC003-U01,2026-01-01T16:45:00+00:00,1.79,0.34,7.36
LOC003-U01,2026-01-01T17:00:00+00:00,2.043,0.327,8.27
LOC003-U01,2026-01-01T17:15:00+00:00,1.224,0.327,8.08
LOC003-U01,2026-01-01T17:30:00+00:00,2.678,0.237,11.03
LOC003-U01,2026-01-01T17:45:00+00:00,2.3,0.308,9.01
LOC003-U01,2026-01-01T18:00:00+00:00,3.128,0.267,8.85
LOC003-U01,2026-01-01T18:15:00+00:00,2.749,0.291,9.98
LOC003-U01,2026-01-01T18:30:00+00:00,1.594,0.32,7.37
LOC003-U01,2026-01-01T18:45:00+00:00,2.742,0.328,10.02
LOC003-U01,2026-01-01T19:00:00+00:00,2.222,0.349,11.23
LOC003-U01,2026-01-01T19:15:00+00:00,2.366,0.344,6.94
LOC003-U01,2026-01-01T19:30:00+00:00,2.326,0.35,9.06
LOC003-U01,2026-01-01T19:45:00+00:00,1.466,0.234,10.79
LOC003-U01,2026-01-01T20:00:00+00:00,2.458,0.328,6.97
LOC003-U01,2026-01-01T20:15:00+00:00,2.679,0.329,8.13
LOC003-U01,2026-01-01T20:30:00+00:00,2.296,0.359,11.35
LOC003-U01,2026-01-01T20:45:00+00:00,2.297,0.285,7.72
LOC003-U01,2026-01-01T21:00:00+00:00,1.929,0.256,9.0
LOC003-U01,2026-01-01T21:15:00+00:00,1.962,0.249,11.32
LOC003-U01,2026-01-01T21:30:00+00:00,1.907,0.235,10.11
LOC003-U01,2026-01-01T21:45:00+00:00,2.688,0.287,9.67
LOC003-U01,2026-01-01T22:00:00+00:00,1.87,0.259,7.1
LOC003-U01,2026-01-01T22:15:00+00:00,2.165,0.365,8.11
LOC003-U01,2026-01-01T22:30:00+00:00,2.345,0.286,10.15
LOC003-U01,2026-01-01T22:45:00+00:00,1.399,0.26,6.88
LOC003-U01,2026-01-01T23:00:00+00:00,2.479,0.372,11.42
LOC003-U01,2026-01-01T23:15:00+00:00,1.958,0.283,8.69
LOC003-U01,2026-01-01T23:30:00+00:00,1.749,0.26,10.5
LOC003-U01,2026-01-01T23:45:00+00:00,1.45,0.368,6.8
LOC003-U01,2026-01-02T00:00:00+00:00,2.266,0.251,11.52
LOC003-U01,2026-01-02T00:15:00+00:00,1.78,0.319,9.56
LOC003-U01,2026-01-02T00:30:00+00:00,2.352,0.274,10.09
LOC003-U01,2026-01-02T00:45:00+00:00,1.814,0.261,7.42
LOC003-U01,2026-01-02T01:00:00+00:00,2.394,0.349,9.0
LOC003-U01,2026-01-02T01:15:00+00:00,2.135,0.374,11.35
LOC003-U01,2026-01-02T01:30:00+00:00,1.137,0.261,10.26
LOC003-U01,2026-01-02T01:45:00+00:00,2.357,0.233,8.24
LOC003-U01,2026-01-02T02:00:00+00:00,2.712,0.221,6.94
LOC003-U01,2026-01-02T02:15:00+00:00,2.561,0.352,10.3
LOC003-U01,2026-01-02T02:30:00+00:00,2.042,0.224,9.46
LOC003-U01,2026-01-02T02:45:00+00:00,2.387,0.378,11.49
LOC003-U01,2026-01-02T03:00:00+00:00,2.413,0.277,8.46
LOC003-U01,2026-01-02T03:15:00+00:00,1.11,0.239,10.7
LOC003-U01,2026-01-02T03:30:00+00:00,2.987,0.36,8.54
LOC003-U01,2026-01-02T03:45:00+00:00,2.599,0.308,11.01
LOC004-U02,2026-01-01T10:00:00+00:00,2.295,0.242,9.07
LOC004-U02,2026-01-01T10:15:00+00:00,2.456,0.301,8.7
LOC004-U02,2026-01-01T10:30:00+00:00,1.905,0.255,8.55
LOC004-U02,2026-01-01T10:45:00+00:00,2.855,0.308,9.96
LOC004-U02,2026-01-01T11:00:00+00:00,1.988,0.376,7.85
LOC004-U02,2026-01-01T11:15:00+00:00,2.134,0.225,7.96
LOC004-U02,2026-01-01T11:30:00+00:00,2.46,0.243,7.16
LOC004-U02,2026-01-01T11:45:00+00:00,2.94,0.29,10.54
LOC004-U02,2026-01-01T12:00:00+00:00,2.64,0.377,8.17
LOC004-U02,2026-01-01T12:15:00+00:00,1.964,0.262,6.66
LOC004-U02,2026-01-01T12:30:00+00:00,3.321,0.378,10.97
LOC004-U02,2026-01-01T12:45:00+00:00,2.289,0.229,10.23
LOC004-U02,2026-01-01T13:00:00+00:00,1.868,0.341,10.27
LOC004-U02,2026-01-01T13:15:00+00:00,2.286,0.363,10.39
LOC004-U02,2026-01-01T13:30:00+00:00,2.659,0.22,9.23
LOC004-U02,2026-01-01T13:45:00+00:00,1.753,0.31,7.08
